backend,world_size,total_elements,total_bytes,average_time,stdev_time
nccl,8,1,4,0.002881,0.000102
nccl,8,12792,51168,0.003005,0.000382
nccl,8,25584,102336,0.003498,0.000730
nccl,8,51169,204676,0.003540,0.001021
nccl,8,102338,409352,0.003136,0.000704
nccl,8,204677,818708,0.004517,0.001531
nccl,8,409355,1637420,0.003009,0.000077
nccl,8,818710,3274840,0.003686,0.000436
nccl,8,1637420,6549680,0.004180,0.001390
nccl,8,3274840,13099360,0.004741,0.001781
nccl,8,6549680,26198720,0.006521,0.002502
nccl,8,13099360,52397440,0.006745,0.001572
nccl,8,26198720,104794880,0.017479,0.005069
nccl,8,52397440,209589760,0.014473,0.008850
nccl,8,104794880,419179520,0.044608,0.004383
nccl,8,209589760,838359040,0.064986,0.005102
nccl,8,419179520,1676718080,0.124579,0.026899
nccl,8,838359040,3353436160,0.241274,0.045146
nccl,8,1676718080,6706872320,0.447628,0.070108
